number,title,state,labels,milestone,user,assignee,assignees,created_at,updated_at,closed_at,body
2377,Reorganize web and desktop top-level menus,open,,jbrowse-desktop first release,garrettjstevens,cmdcolin,cmdcolin,2021-10-04T13:35:39Z,2021-10-08T18:33:45Z,,"There was some good discussion based on the observations and wireframing from @junjun-zhang about desktop's top-level menus. I think it would be good to review those again now that we're approaching a final design.

### Current menus

| File | Edit | Help |
| ---- | ---- | ---- |
| ![image](https://user-images.githubusercontent.com/25592344/135860632-87cb14a3-2a1f-4e45-8f00-96560af251ca.png) | ![image](https://user-images.githubusercontent.com/25592344/135860670-7e32f615-1a73-4fe4-a2fe-06738154c55d.png) | ![image](https://user-images.githubusercontent.com/25592344/135860722-ca019a12-a04f-40c7-8882-0891bc6c279d.png) |

Example from @junjun-zhang's wireframes

![image](https://user-images.githubusercontent.com/25592344/135860875-3f869a63-c1ef-4ce5-acd2-a051cb40947c.png)
"
2376,Add saved session to assemblies list in desktop start screen,open,,jbrowse-desktop first release,garrettjstevens,cmdcolin,cmdcolin,2021-10-04T13:27:19Z,2021-10-08T18:33:45Z,,"This was discussed in one of our meetings but I can't see that it got recorded in an issue. To address the case of someone having an assembly and base set of tracks that they want to use often as a starting point, there should be some way to take an entry from ""Recently opened sessions"" and copy it to the list of pre-configured assemblies."
2375,Desktop bug fixes and UI updates,closed,,,garrettjstevens,,,2021-10-04T13:20:36Z,2021-10-05T15:48:14Z,2021-10-05T01:12:58Z,"This PR has several small changes I wanted to propose after working with the desktop app:

- Reduce size of saved session thumbnail image. Now saves at a width of 250 (the size of the preview image in the card) instead of full window width.
- Fix bug in mm10 preloaded config where it would not open by itself because it didn't have a defaultSession
- Fix bug where if you checked and then un-checked an assembly, it would still be in the session (also disable ""Go"" button while no assemblies are checked)
- Move tooltip on toggle button from the contents to the toggle button itself, so that the tooltip will show up even if hovering over the edges of the button.
- Rename ""table view"" to ""list view"" in start screen. Small survey (at least my OS's file explorer and Google Drive) shows this to be the commonly used term.
- Show ""time ago"" last modified time for times less than 24 hours ago (with actual time as a tooltip)

| Before | After |
|:-----------:|:-----------:|
![image](https://user-images.githubusercontent.com/25592344/135856767-eb553211-1844-4685-982e-39e6c55d45c9.png) | ![image](https://user-images.githubusercontent.com/25592344/135858341-4d53d339-94e0-4c78-a89b-125dafc9f024.png)

- Use Paper for start screen division to match style of other parts of app

| Before | After |
|:-----------:|:-----------:|
![image](https://user-images.githubusercontent.com/25592344/135857256-f6542bde-b6ea-45cc-b045-2212ae3c68af.png) | ![image](https://user-images.githubusercontent.com/25592344/135858432-81f1837c-aacc-463d-b6c2-6f6144c447ce.png)"
2374,Update typescript to 4.x,closed,housekeeping,,cmdcolin,,,2021-10-03T03:23:10Z,2021-10-06T23:49:18Z,2021-10-06T23:49:18Z,"This is a general housekeeping thing. To avoid going stale, i thought upgrading typescript could be useful, and catch more errors.

It actually works well and I was able to upgrade it except that the final build of the codebase runs tsdx, which uses typescript 3.x and does not like the type annotation on try/catch which is added in typescript 4.x

In order to fix, we could make a workaround for this or try to perhaps remove references to tsdx in our own codebase

Initial attempt at upgrading typescript, which works until the final building of the codebase https://github.com/GMOD/jbrowse-components/tree/bump_typescript (run log https://github.com/GMOD/jbrowse-components/runs/3779737118?check_suite_focus=true#step:5:448)


"
2373,Add auto update functionality for jbrowse-desktop,closed,enhancement,,cmdcolin,,,2021-10-02T23:57:17Z,2021-10-05T15:48:07Z,2021-10-05T03:12:10Z,"This method will create a method for auto-updating on desktop. I tested this on a mac

Notes

- There are now many more release artifacts, the blockmap files, the latest-*.yml files are needed for auto-update

- The mac needs both a dmg and a zip because without the zip it gives an error to the auto-updater (https://github.com/electron-userland/electron-builder/issues/2199). Zip could also be used separate from dmg e.g. like a non-installer

- Bumps requirement for the monorepo to node 14 because electron-builder needs it. I could revert this particular change but it seems best to stay updated, and this just requires node 14 via the engines field

- Adds snap and appimage options for linux. AppImage was what previously was only available, but snap might help a subset of users

- The workflow for the updater doesn't have any status for it updating, but it updates on restart

on v1.4.5, with a popup that automatically pops up on startup
![Screen Shot 2021-10-02 at 7 09 27 PM](https://user-images.githubusercontent.com/6511937/135734511-23fda846-b50a-48f3-9fcf-d1d094f5abb4.png)

on v1.4.6 after restarting app
![Screen Shot 2021-10-02 at 7 11 47 PM](https://user-images.githubusercontent.com/6511937/135734513-527cb1a5-73fb-41a6-b941-6d1988b46d44.png)

fixes #1922 

there are some improvements on this that could possibly be made, e.g. tying this into the App UI rather than using system dialog boxes from electron.ts, but this seems like it may be an ok first pass on things
"
2372,Check if user input is a refName before querying the text search manager,closed,,,cmdcolin,,,2021-10-01T23:07:15Z,2021-10-05T15:48:27Z,2021-10-03T02:57:35Z,"Fixes #2370 
As @teresam856 notes, this particular conditional in handleSelectedRegion is similar to what existed in earlier text search branch results

"
2371,Predefined google and dropbox authentication on desktop,closed,needs label triage,,cmdcolin,,,2021-10-01T21:50:51Z,2021-10-05T15:48:06Z,2021-10-04T17:53:48Z,This is a concept for how we could enable auth by default on desktop. It automatically performs a deepmerge on the config to add the googledrive and dropbox internetAccounts to any additional ones that might be configured by the system
2370,New LGV opens with unexpected track if text search index is present,closed,bug,,garrettjstevens,,,2021-10-01T21:39:06Z,2021-10-03T02:57:35Z,2021-10-03T02:57:35Z,"**Describe the bug**

When you open a new Linear Genome View for an assembly that has a text search index configured, there is a track that automatically opens. It doesn't seem clear why this track is opened, and prevents the users from seeing the ""Open track selector"" prompt.

**To Reproduce**

1. Go to https://s3.amazonaws.com/jbrowse.org/code/jb2/main/index.html?config=test_data%2Fvolvox%2Fconfig.json&session=share-jRHwHCUbTG&password=uo73a
2. Click ""Launch view""
3. Click ""Open""
4. See that there is a track already open

**Expected behavior**

There shouldn't be any tracks already opened

**Version:**

Currently on `main`, does not appear to be present in v1.4.4 release.
"
2369,Add tooltip with track description to track selector,closed,enhancement,,garrettjstevens,garrettjstevens,garrettjstevens,2021-10-01T18:17:39Z,2021-10-01T20:52:04Z,2021-10-01T20:50:34Z,"When looking at https://github.com/GMOD/jbrowse-components/discussions/2367 and thinking about how people can differentiate their tracks, I realized there is no tooltip on the current track selector entries (there were on previous iterations of the track selector). This adds such a tooltip. I think this can be a useful way for people to keep information about their tracks easily accessible.

![image](https://user-images.githubusercontent.com/25592344/135668026-e7ce016b-6c83-4616-8684-922c8f6e5cce.png)
"
2368,authenticate files through spreadsheet view ;; skips stat() if it fails,closed,needs label triage,,carolinebridge-oicr,carolinebridge-oicr,carolinebridge-oicr,2021-09-30T15:30:43Z,2021-09-30T18:37:57Z,2021-09-30T18:34:25Z,"reason for change:

GDC does not support stat(). when putting a GDC resource through the spreadsheet view, stat() cannot retrieve the size of the file and then errors and aborts the operation ;; spreadsheet view is required to visualize BEDPE files.

additional changes enable authentication to go through the spreadsheet component"
2365,Add ability to open plain-text GTF files,open,enhancement,,rbuels,,,2021-09-29T18:19:07Z,2021-09-29T18:19:16Z,,Similar to opening plain-text GFF files.
2364,Move desktop beta to main releases for github workflows,open,enhancement,jbrowse-desktop first release,cmdcolin,garrettjstevens,garrettjstevens,2021-09-29T18:13:52Z,2021-10-08T18:37:18Z,,
2363,Add some typescripting of some jbrowse classes,closed,internal,,cmdcolin,,,2021-09-29T16:10:24Z,2021-09-30T03:28:39Z,2021-09-30T03:28:36Z,"This is a small PR to typescriptify jbrowseModel.js and JBrowse.js in jbrowse-web

It is always nice to have a little more ""type"" coverage of the codebase

Uncovered an interesting thing where the postProcessor of jbrowseModel was not really doing it's job (of removing the baseUri attribute) because it wasn't getting the attr passed

https://github.com/GMOD/jbrowse-components/compare/tsx_jbrowse?expand=1&w=1#diff-edd77609d1a93193117475df3a391d96c5f4fdb64bd56676f59e7665f40ae638R219

This then required, after fixing that, that we actually clone the snapshot object before delete'ing attributes off it (mst gets unhappy if you delete attributes from the raw snapshot)

This also allows us to delete a duplicate logic for deleting baseUri in the admin-server"
2362,master and child config.json files,open,enhancement,,lennartraman,,,2021-09-29T15:28:12Z,2021-09-29T16:30:30Z,,"First of all, thanks a lot for jbrowse: I've been using it quite extensively, and it runs flawlessly.

I've been including a lot of data sets in the same environment, causing my json.config file to be pretty large (>2000 lines) and unorganized. Once you have 3, 4, ... subcategories per feature track, it make more sense to manually edit the config files (copy/paste + edit) rather than use the build in jbrowse functions. It would be nice to have one 'master' config file, where you can link several 'child' config files. This would enable structured data to be organized better, and is especially interesting when working with multiple researchers/bioinformaticians on the same jbrowse environment. Upon research, I don't think such a feature exist?

Thanks, Lennart"
2361,Add more unit testing for embedded and desktop,open,"enhancement,housekeeping",,cmdcolin,,,2021-09-29T15:09:40Z,2021-09-29T15:09:47Z,,Currently most test suites run against jbrowse-web. It may be useful to run more tests against embedded and desktop
2360,"while running jbrowse text-index: events.js:174, unhandled error",closed,bug,,lennartraman,,,2021-09-29T14:25:48Z,2021-09-29T14:34:12Z,2021-09-29T14:34:12Z,"Whenever I run `jbrowse text-index --out path/to/jbrowse2`, I get following error:

```
root@ea95d858738a:/jbrowse2# jbrowse text-index --out /jbrowse2                                      
Indexing assembly Aspergillus oryzae RIB40...
░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░ NCBI-AspOry-RIB40 0% | ETA: 0sevents.js:174
      throw er; // Unhandled 'error' event
      ^

TypeError: Object.fromEntries is not a function
    at Object.indexGff3_1 (/usr/local/lib/node_modules/@jbrowse/cli/lib/types/gff3Adapter.js:60:46)
    at indexGff3_1.next (<anonymous>)
    at resume (/usr/local/lib/node_modules/@jbrowse/cli/node_modules/tslib/tslib.js:208:48)
    at fulfill (/usr/local/lib/node_modules/@jbrowse/cli/node_modules/tslib/tslib.js:210:35)
    at process._tickCallback (internal/process/next_tick.js:68:7)
Emitted 'error' event at:
    at emitErrorNT (internal/streams/destroy.js:91:8)
    at emitErrorAndCloseNT (internal/streams/destroy.js:59:3)
    at process._tickCallback (internal/process/next_tick.js:63:19)
```

Some additional info
- I'm running jbrowse/cli/1.4.4 (upgraded using `jbrowse upgrade`) inside a Docker container.
- I have 4 different gff files in my config.json file.
- Specifying a gff with the `--tracks` option results in the same error for each gff.
- My gff files have both Name and ID attributes in the gene rows.
- There is a symbolic link within the jbrowse folder that links a mounted data folder (containing all fna, gff, bam, wig, ... files), which has worked fine.

Any idea what triggers this error and how it might be fixed?

Thanks! Lennart"
2357,Make file chooser more configurable by internet accounts,closed,needs label triage,,garrettjstevens,garrettjstevens,garrettjstevens,2021-09-27T23:48:45Z,2021-10-07T00:18:03Z,2021-09-28T15:19:04Z,"This is a proposal for more adjustments to the file selector UI. I wanted to make the UI easier for the most common cases. I think that the large majority of users will have either no internet accounts configured (default for web) or Google Drive and Dropbox configured (possible future default for desktop). There does need to be some way to handle many configured accounts in the UI, but since that's an uncommon case, in this branch that particular UI does not show up until three or more accounts are configured. By default with two accounts configured, the UI looks like this (all four possible states):

![image](https://user-images.githubusercontent.com/25592344/134997408-3d3199af-e049-4f12-b4af-0236283a046a.png)

With more accounts, there is a ""More"" button, and selecting an account from that menu moves it to be the last displayed account.

![image](https://user-images.githubusercontent.com/25592344/134998797-1795e22f-f0e3-43e2-8ef0-6c3ff779f436.png)

![image](https://user-images.githubusercontent.com/25592344/134998828-aaf07c61-ce7e-4f3b-ba38-af1c651b3942.png)

In discussion earlier with @peterkxie and @carolinebridge-oicr, it came up that using text instead of icons might be more clear, but I think that because this is designed to be a compact UI, the ability to use icons makes it cleaner and easier for the user to understand. There are tooltips on the icons:

![image](https://user-images.githubusercontent.com/25592344/134999220-a1ca4924-e5b8-4070-a989-4cbeefe1d60d.png)

The icons and the label text (e.g. ""Enter Dropbox share link"") are now optional parts of the account model, so each account can define them. It also allows internet accounts to provide their own component for selecting a location, so it could use something besides the URL input box. No accounts currently use this, but it allows for adding things like a custom file picker for some resource.

This PR also splits the file selector components up into multiple files since it was getting large.

Also missing is the ""Add account for authentication"" button. I think this will be necessary in the future, but not for the first release. Users can add an HTTP Basic account by entering the URL in the normal URL field, and the account will get added when the track tries to access the resource. We don't have a UI for configuring the other account types, so we can't add them in the track selector for now. I think once we have an internet account manager UI, there should be a button in the file selector that opens that UI where users can add or manage any type of account.

Also removes the external token account from the volvox config since it doesn't have a usable example."
2356,Fix jb1 adapter,closed,needs label triage,,teresam856,,,2021-09-24T00:46:57Z,2021-09-24T01:03:31Z,2021-09-24T01:03:31Z,"* fix case sensitive search
* returns exact matches as well as prefix matches to populate dropdown when using the JB1 adapter
* adds Jb1 adapter test
"
2355,Allow prefix and exact matches jb1 text search,closed,bug,,cmdcolin,,,2021-09-24T00:11:43Z,2021-09-24T16:26:04Z,2021-09-24T15:32:14Z,"Current usage of jb1 text search needed a little fixing to clarify that exact matches should also be returned when a prefix is searched

@teresam856 is aware :)

This PR helps with this

Also goes through and does some little typescripting cleanups"
2354,Intermittent problem with jbrowse text-index,open,bug,,bbimber,,,2021-09-23T18:14:57Z,2021-09-24T15:42:35Z,,"I have seen this intermittent problem locally (windows), and also in our TeamCity CI (linux and windows). I'm running a command like this:

```
/mnt/teamcity/work/5f343dad1177482/build/deploy/modules/jbrowse/external/jb-cli/cli-linux text-index --force --quiet --attributes Name,ID,gene_id,gene_name --file /mnt/teamcity/work/5f343dad1177482/build/deploy/files/JBrowseVerifyProject/@files/.jbrowse/resources/AB340AE2-FEC4-1039-9671-ADD9DBB5A1C0/AB340AE2-FEC4-1039-9671-ADD9DBB5A1C0fakeData.gff.gz

```

The error that happens is something like:

Error: ENOENT: no such file or directory, open 
'/mnt/teamcity/temp/buildTmp/jbrowse-trix-sort-33244-1Oin84LV9tq0/0.tmp'
Code: ENOENT

It doesnt fail 100% of the time, but this isnt especially rare. Have you seen anything like this?"
2353,"adding additional msging, truncate long names in ui, spacing",closed,needs label triage,,carolinebridge-oicr,carolinebridge-oicr,carolinebridge-oicr,2021-09-23T14:53:29Z,2021-09-23T21:38:19Z,2021-09-23T21:38:18Z,"### Changes
- changed messaging for index file, to be more clear for the user what will happen
- spacing changes to the informational message when the user is on an internet account (i.e. the icon is centered now)
- condition for extra-long internet account names that they will be truncated if they exceed 12 characters (not in the dropdown menu, only on the ui display)
- added a label to the URL field, it really needs something there otherwise it looks completely empty, and I can see a user missing the field entirely
- moved the url field down below the grid containing the button group and add account button to make it consistent if the window is resized

**Here's what the UI would look like without term truncation:**
<img width=""337"" alt=""Screen Shot 2021-09-23 at 10 38 46 AM"" src=""https://user-images.githubusercontent.com/83305007/134530339-0aa42e3c-4d7e-4cca-9f70-b756194e43a2.png"">

**And with truncation:**
<img width=""337"" alt=""Screen Shot 2021-09-23 at 10 38 46 AM"" src=""https://user-images.githubusercontent.com/83305007/134529049-abe30af1-3b56-4d35-a242-877a0d0ac99a.png"">

**Full name preserved in the dropdown menu:**
<img width=""357"" alt=""Screen Shot 2021-09-23 at 10 39 52 AM"" src=""https://user-images.githubusercontent.com/83305007/134529076-233d5e0a-a576-4acd-92d8-f86f95c300de.png"">

**IMO, the add account button looks weird attached to the button group and I wish it was justified to the end but I can't accomplish that if we want to maintain the use of Grid on this component. It is a minor visual thing, but I think we should consider using flex for this entire component if this is troublesome.**
Also shows what shorter names look like.
<img width=""335"" alt=""Screen Shot 2021-09-23 at 10 39 09 AM"" src=""https://user-images.githubusercontent.com/83305007/134529061-312e3ed8-8925-42ba-aae9-e9bb57ab7f2a.png"">

"
2352,Better keyboard navigations on text search autocomplete component,closed,bug,,cmdcolin,,,2021-09-23T02:01:36Z,2021-09-24T00:06:51Z,2021-09-24T00:06:49Z,"Alternative to #2346 

Number of changes here

* Streamlines the logic in the handleSearchResult
* Removes LocStringResult, instead checking on option.locString existing
* Makes autocomplete a controlled component that goes back to the previously displayed value using onBlur
* Removes blurOnSelect, but still get a similar behavior to blurOnSelect due to the controlled component behavior above"
2351,"Use main ""module"" field instead of ""browser"" from dependency package json files electron builds",closed,internal,,cmdcolin,,,2021-09-22T23:44:34Z,2021-09-23T13:32:43Z,2021-09-23T00:05:43Z,"This restores ability to use localfiles  after regression in https://github.com/GMOD/jbrowse-components/pull/2332

This fixes it by actually making the webpack build for electron ignore the ""browser"" field in package.json

Also upgrades generic-filehandle (after https://github.com/GMOD/generic-filehandle/pull/88)"
2350,"Bug related to search results, the first time it loads",closed,bug,,bbimber,,,2021-09-22T23:37:05Z,2021-09-24T15:39:31Z,2021-09-24T00:24:43Z,"I see this issue consistently, but I cant quite track it down. I'm happy to do debugging on my end if you can provide some guidance. I can also give access to my lab's site to attempt to repro:

- We have an embedded react-linear-genome-view, where some of the tracks have per-track search indexes
- When you load the session, it gives you the dialog to pick a location and tracks
- When you type into the search box, it loads indexed features, as expected.
- if you type something, like 'tnf', it loads genes, as expected. I'll point out this is the first time this store loaded and you generally see a 'loading' text on the combo before results return.
- if you use the arrows and hit enter to pick a gene, it does not select it. The contents of the search box are unchanged.
- if you hit enter, nothing happens
- if you type again, at which point i assume the store backing this search is loaded, you can type 'tnf', use arrows to pick a gene and hit enter. only by this second time do the contents of the search box change, and hitting enter will navigate to the gene of interest."
2349,Error when running jbrowse text-index,closed,bug,,scottcain,,,2021-09-22T00:19:53Z,2021-09-22T16:57:07Z,2021-09-22T00:23:22Z,"
[config.txt](https://github.com/GMOD/jbrowse-components/files/7206909/config.txt)
<!-- Please fill out as much of the template as you can. -->

When running `jbrowse text-index` I get this output: 
```
 TypeError: Cannot read property 'type' of undefined
```
I tried adding a variety of flags, like `--dryrun` and `--target .` and `--target ./config.json` to no avail.

<!-- Put a clear and concise description of the bug here. -->

The  mostly cause of this problem is my config.json, which does work correctly for JBrowse 2, but may not be quite what this tool is expecting, as it's a combination of hand editing and automatically being generated from the jb1tojb2 script I'm working on.  I've attached that config at the top of this issue (with the extension changed to txt so I could upload it).  If it helps, this JBrowse 2 is running on a machine at http://18.206.115.254/ however, that may go away at some point.

Another potential point of failure is that the data files are remote; if that's not supported, the documentation should state that explicitly.


<!--
Describe here the steps to reproduce the behavior, e.g.:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error
-->

**Expected behavior**

Successfully indexing the data. 

<!-- Put a clear and concise description of what you expected to happen. -->

**Screenshots**

<!-- If applicable, add screenshots here to help explain your problem. -->

**Version:**

JBrowse 2 version 1.4.4: `@jbrowse/cli/1.4.4 linux-x64 node-v14.16.0`

<!--
Tell us what version of JBrowse 2 you are using (e.g. 2.0.3).

If you're using the desktop version, tell us what OS are you using (e.g. MacOS
Catalina).

If you're using the web version, tell us what browser you are using (e.g.
Chrome)
-->

**Additional context**

<!-- Add any other context about the problem here. -->
"
2348,Fix ability to use JB1 backcompat text search adapter,closed,"bug,text searching",,teresam856,,,2021-09-21T23:46:13Z,2021-09-23T05:45:35Z,2021-09-22T22:23:59Z,"Trix adapter was updated here. https://github.com/GMOD/jbrowse-components/pull/2298
Need to update the JB1 text search adapter. AssemblyNames field is used to filter the necessary adapters during a search based on the assemblies those adapters cover."
2347,Add `http-range-fetcher` back,closed,needs label triage,,garrettjstevens,garrettjstevens,garrettjstevens,2021-09-21T23:32:55Z,2021-09-24T20:29:40Z,2021-09-24T20:16:06Z,"This adds `http-range-fetcher` back due to concerns described in [this comment](https://github.com/GMOD/jbrowse-components/pull/2279#issuecomment-921322346).

To handle various authentication models needing to use their own `fetch`es with auth headers, etc., it adds it back in a different way. It extends `RemoteFile` to `RemoteFileWithRangeCache`, and anything that wants to use the global range cache can use that class instead of `RemoteFile`. This does not require any changes to `http-range-fetcher`"
